Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AMGN,AMGN,AMGN,AMGN,AMGN,AMGN
Date,,,,,,
2021-09-10,182.9515380859375,213.75,216.99000549316406,213.5500030517578,216.5,2217800
2021-09-13,185.49359130859375,216.72000122070312,219.0500030517578,215.07000732421875,217.05999755859375,2553400
2021-09-14,184.91159057617188,216.0399932861328,217.9199981689453,215.1199951171875,217.60000610351562,1999300
2021-09-15,186.70045471191406,218.1300048828125,219.9199981689453,215.86000061035156,216.77000427246094,2555600
2021-09-16,186.0413818359375,217.36000061035156,218.64999389648438,214.0,218.02000427246094,2695600
2021-09-17,187.7703399658203,219.3800048828125,219.8800048828125,215.8699951171875,217.22999572753906,5659900
2021-09-20,184.11558532714844,215.11000061035156,219.85000610351562,214.27999877929688,218.3800048828125,3293000
2021-09-21,184.32952880859375,215.36000061035156,218.10000610351562,214.36000061035156,215.7100067138672,2112100
2021-09-22,182.8573760986328,213.63999938964844,216.55999755859375,213.4600067138672,216.55999755859375,2542800
2021-09-23,184.06423950195312,215.0500030517578,215.55999755859375,212.3000030517578,212.50999450683594,2181500
2021-09-24,182.83168029785156,213.61000061035156,215.52999877929688,213.1999969482422,214.75,1908600
2021-09-27,182.4037628173828,213.11000061035156,214.9499969482422,212.6999969482422,213.25,1943000
2021-09-28,181.6847686767578,212.27000427246094,214.75999450683594,211.64999389648438,212.3000030517578,2919000
2021-09-29,183.93582153320312,214.89999389648438,216.8000030517578,211.85000610351562,212.5,1900800
2021-09-30,182.01002502441406,212.64999389648438,216.6699981689453,212.52000427246094,215.7899932861328,2491900
2021-10-01,183.09701538085938,213.9199981689453,214.61000061035156,210.8000030517578,213.58999633789062,2629400
2021-10-04,180.97434997558594,211.44000244140625,215.63999938964844,210.77000427246094,214.10000610351562,2856300
2021-10-05,181.3338623046875,211.86000061035156,213.99000549316406,211.0800018310547,211.2100067138672,2481900
2021-10-06,179.7247314453125,209.97999572753906,212.0800018310547,208.97000122070312,211.32000732421875,2928200
2021-10-07,178.98863220214844,209.1199951171875,212.4499969482422,208.52999877929688,208.52999877929688,3331700
2021-10-08,178.84315490722656,208.9499969482422,210.17999267578125,207.64999389648438,210.1300048828125,2349800
2021-10-11,176.91734313964844,206.6999969482422,209.88999938964844,206.58999633789062,209.05999755859375,1982200
2021-10-12,172.80039978027344,201.88999938964844,207.55999755859375,200.47000122070312,207.42999267578125,3544000
2021-10-13,174.2725830078125,203.61000061035156,204.88999938964844,202.10000610351562,202.82000732421875,3303300
2021-10-14,176.98580932617188,206.77999877929688,207.5,204.49000549316406,204.49000549316406,3015100
2021-10-15,177.89309692382812,207.83999633789062,209.02000427246094,206.22999572753906,208.49000549316406,3684600
2021-10-18,173.86175537109375,203.1300048828125,207.0,202.4499969482422,206.36000061035156,2812500
2021-10-19,176.98580932617188,206.77999877929688,206.89999389648438,203.0800018310547,204.49000549316406,2480500
2021-10-20,179.45082092285156,209.66000366210938,211.58999633789062,206.25,207.39999389648438,2308600
2021-10-21,178.8773956298828,208.99000549316406,210.25999450683594,207.6699981689453,210.14999389648438,1921100
2021-10-22,179.0913543701172,209.24000549316406,210.5,208.5,209.6999969482422,1349300
2021-10-25,177.7133331298828,207.6300048828125,209.82000732421875,206.97000122070312,209.5,1916500
2021-10-26,178.612060546875,208.67999267578125,209.97999572753906,207.6300048828125,208.1999969482422,1664400
2021-10-27,176.81463623046875,206.5800018310547,210.39999389648438,205.80999755859375,209.8699951171875,2003300
2021-10-28,177.3196258544922,207.1699981689453,209.49000549316406,205.61000061035156,207.08999633789062,2166500
2021-10-29,177.1484375,206.97000122070312,207.6999969482422,204.1999969482422,206.35000610351562,2592300
2021-11-01,179.56210327148438,209.7899932861328,212.08999633789062,207.77000427246094,208.0,3105300
2021-11-02,183.3880615234375,214.25999450683594,214.72000122070312,208.13999938964844,210.50999450683594,3329300
2021-11-03,186.70045471191406,218.1300048828125,219.25,209.8000030517578,210.91000366210938,3775600
2021-11-04,183.96151733398438,214.92999267578125,218.4499969482422,211.72000122070312,218.3000030517578,2781300
2021-11-05,182.96865844726562,213.77000427246094,217.4199981689453,212.72999572753906,215.61000061035156,2300100
2021-11-08,180.91445922851562,211.3699951171875,214.44000244140625,210.92999267578125,214.05999755859375,2532900
2021-11-09,181.2054901123047,211.7100067138672,213.6999969482422,210.47000122070312,211.02000427246094,2296300
2021-11-10,182.48934936523438,213.2100067138672,215.5,212.52999877929688,213.27999877929688,2360400
2021-11-11,181.0771026611328,211.55999755859375,214.0800018310547,210.55999755859375,214.0800018310547,2615700
2021-11-12,180.9315643310547,211.38999938964844,212.8800048828125,210.3800048828125,212.3000030517578,4614100
2021-11-15,179.0068817138672,207.39999389648438,210.88999938964844,207.0800018310547,210.69000244140625,3129200
2021-11-16,177.2720184326172,205.38999938964844,209.0399932861328,205.27000427246094,208.02999877929688,2942500
2021-11-17,177.64315795898438,205.82000732421875,207.35000610351562,203.60000610351562,205.2100067138672,3329300
2021-11-18,176.08958435058594,204.02000427246094,206.22999572753906,203.72999572753906,205.6300048828125,4261500
2021-11-19,177.8675537109375,206.0800018310547,206.1999969482422,203.6699981689453,205.27000427246094,3217100
2021-11-22,174.97618103027344,202.72999572753906,206.3000030517578,200.75,205.4499969482422,2835100
2021-11-23,176.52975463867188,204.52999877929688,205.47999572753906,201.27000427246094,202.22999572753906,2149300
2021-11-24,176.04641723632812,203.97000122070312,205.27999877929688,202.9499969482422,204.3000030517578,1699800
2021-11-26,173.5607147216797,201.08999633789062,206.0,200.52000427246094,204.74000549316406,3197900
2021-11-29,175.6148681640625,203.47000122070312,204.8300018310547,201.58999633789062,202.47999572753906,2519900
2021-11-30,171.65325927734375,198.8800048828125,203.8699951171875,198.72999572753906,202.72999572753906,5400100
