Price,Adj Close,Close,High,Low,Open,Volume
Ticker,APD,APD,APD,APD,APD,APD
Date,,,,,,
2021-09-10,236.3092041015625,268.0,269.44000244140625,266.79998779296875,267.6700134277344,1000300
2021-09-13,237.63174438476562,269.5,272.0299987792969,267.2799987792969,270.3599853515625,1258900
2021-09-14,237.06747436523438,268.8599853515625,270.9800109863281,267.8699951171875,270.6400146484375,775600
2021-09-15,237.63174438476562,269.5,270.7799987792969,267.79998779296875,269.29998779296875,1166400
2021-09-16,234.91607666015625,266.4200134277344,269.0,265.8900146484375,268.2699890136719,1138500
2021-09-17,230.86878967285156,261.8299865722656,264.44000244140625,259.6199951171875,263.489990234375,1702700
2021-09-20,227.65037536621094,258.17999267578125,259.75,253.91000366210938,258.0,1113200
2021-09-21,226.95384216308594,257.3900146484375,260.2799987792969,257.2300109863281,259.70001220703125,718300
2021-09-22,227.4387969970703,257.94000244140625,260.2099914550781,257.5799865722656,258.6400146484375,631200
2021-09-23,229.61666870117188,260.4100036621094,261.260009765625,259.0899963378906,259.4800109863281,879200
2021-09-24,228.86724853515625,259.55999755859375,261.7099914550781,258.6600036621094,259.44000244140625,738900
2021-09-27,230.93931579589844,261.9100036621094,269.0,261.6499938964844,269.0,1219600
2021-09-28,231.29202270507812,262.30999755859375,264.0899963378906,259.7699890136719,261.6199951171875,1195500
2021-09-29,229.44921875,260.2200012207031,263.07000732421875,260.1400146484375,261.8999938964844,917100
2021-09-30,227.1344757080078,256.1099853515625,260.8599853515625,256.05999755859375,260.2200012207031,762400
2021-10-01,228.30514526367188,257.42999267578125,259.29998779296875,253.91000366210938,257.7699890136719,877000
2021-10-04,227.02804565429688,255.99000549316406,258.739990234375,253.47999572753906,256.94000244140625,1007000
2021-10-05,227.9414825439453,257.0199890136719,258.54998779296875,254.47999572753906,256.1099853515625,970900
2021-10-06,231.24952697753906,260.75,261.010009765625,251.97000122070312,255.0,1310200
2021-10-07,233.55535888671875,263.3500061035156,266.5299987792969,262.0400085449219,262.3699951171875,1359600
2021-10-08,235.40000915527344,265.42999267578125,266.3699951171875,263.7900085449219,264.9800109863281,1162300
2021-10-11,238.32672119140625,268.7300109863281,272.1700134277344,266.6199951171875,267.7099914550781,1070200
2021-10-12,241.5814666748047,272.3999938964844,273.55999755859375,268.6400146484375,268.7300109863281,1266500
2021-10-13,246.92037963867188,278.4200134277344,279.5899963378906,274.8800048828125,275.05999755859375,1285100
2021-10-14,255.3899383544922,287.9700012207031,288.67999267578125,281.55999755859375,281.55999755859375,1575100
2021-10-15,259.5848693847656,292.70001220703125,294.8299865722656,288.1000061035156,289.42999267578125,1637300
2021-10-18,259.44287109375,292.5400085449219,294.0,290.3500061035156,291.9599914550781,977100
2021-10-19,261.1723327636719,294.489990234375,295.4599914550781,291.7300109863281,293.0,896800
2021-10-20,260.4716491699219,293.70001220703125,295.82000732421875,292.07000732421875,295.04998779296875,751100
2021-10-21,260.64013671875,293.8900146484375,294.0,291.7300109863281,293.44000244140625,620000
2021-10-22,258.2811279296875,291.2300109863281,296.2200012207031,290.8500061035156,294.29998779296875,898500
2021-10-25,260.6667175292969,293.9200134277344,295.5299987792969,291.3599853515625,292.7799987792969,633300
2021-10-26,261.07464599609375,294.3800048828125,295.989990234375,293.7200012207031,294.5,460100
2021-10-27,261.4914855957031,294.8500061035156,296.0,293.32000732421875,294.30999755859375,748500
2021-10-28,267.3359680175781,301.44000244140625,301.4599914550781,295.2799987792969,295.2799987792969,1256800
2021-10-29,265.8903503417969,299.80999755859375,301.29998779296875,298.04998779296875,300.0199890136719,924700
2021-11-01,264.2762756347656,297.989990234375,300.94000244140625,297.79998779296875,299.6099853515625,653000
2021-11-02,264.3560485839844,298.0799865722656,299.69000244140625,296.94000244140625,298.489990234375,932400
2021-11-03,267.9478759765625,302.1300048828125,303.2099914550781,298.1600036621094,298.6199951171875,1270200
2021-11-04,267.1319885253906,301.2099914550781,301.57000732421875,292.0199890136719,294.2900085449219,1121000
2021-11-05,274.3155212402344,309.30999755859375,309.7300109863281,302.0799865722656,302.75,1646700
2021-11-08,277.23333740234375,312.6000061035156,313.8299865722656,307.5,309.7799987792969,1634200
2021-11-09,278.33306884765625,313.8399963378906,315.0199890136719,311.4800109863281,312.80999755859375,1174000
2021-11-10,278.71441650390625,314.2699890136719,314.8599853515625,312.80999755859375,313.2799987792969,988700
2021-11-11,275.38861083984375,310.5199890136719,316.3900146484375,310.3900146484375,314.5899963378906,1297200
2021-11-12,274.9274597167969,310.0,310.8699951171875,309.2200012207031,310.8699951171875,1234200
2021-11-15,269.4289855957031,303.79998779296875,308.6300048828125,303.05999755859375,308.5,1510000
2021-11-16,267.3891296386719,301.5,304.7799987792969,301.3299865722656,304.7300109863281,1610600
2021-11-17,265.6065368652344,299.489990234375,302.0799865722656,297.3699951171875,301.5,1404300
2021-11-18,262.7242736816406,296.239990234375,300.7200012207031,295.989990234375,300.7200012207031,846300
2021-11-19,264.05462646484375,297.739990234375,299.54998779296875,294.4800109863281,296.239990234375,1091200
2021-11-22,263.8594665527344,297.5199890136719,300.1400146484375,297.1000061035156,299.4599914550781,1099500
2021-11-23,265.1719665527344,299.0,302.4200134277344,297.8999938964844,298.5400085449219,1072500
2021-11-24,264.1431884765625,297.8399963378906,300.1700134277344,297.4100036621094,298.3299865722656,603300
2021-11-26,260.41839599609375,293.6400146484375,294.4100036621094,290.69000244140625,293.57000732421875,619600
2021-11-29,258.38751220703125,291.3500061035156,295.7300109863281,291.20001220703125,295.0199890136719,853500
2021-11-30,254.91989135742188,287.44000244140625,291.0199890136719,286.1199951171875,289.5299987792969,2396100
2021-12-01,252.70269775390625,284.94000244140625,294.2900085449219,284.7900085449219,292.1000061035156,1184000
2021-12-02,254.9110107421875,287.42999267578125,289.8399963378906,285.8299865722656,285.8399963378906,1350900
2021-12-03,255.9663543701172,288.6199951171875,290.70001220703125,285.82000732421875,287.8800048828125,1199100
2021-12-06,259.7532653808594,292.8900146484375,294.6300048828125,290.8399963378906,292.0899963378906,962500
2021-12-07,262.4493713378906,295.92999267578125,297.760009765625,293.4800109863281,294.0400085449219,859100
2021-12-08,262.21868896484375,295.6700134277344,297.2200012207031,292.32000732421875,297.0,1098900
2021-12-09,260.01043701171875,293.17999267578125,294.010009765625,290.3399963378906,290.3399963378906,1239500
2021-12-10,261.9349365234375,295.3500061035156,295.9100036621094,292.8399963378906,295.9100036621094,695700
2021-12-13,263.89495849609375,297.55999755859375,299.489990234375,294.0899963378906,294.8399963378906,1008500
2021-12-14,264.4625549316406,298.20001220703125,299.4599914550781,295.9200134277344,297.92999267578125,808500
2021-12-15,270.56414794921875,305.0799865722656,307.42999267578125,298.1199951171875,299.0799865722656,1461000
2021-12-16,268.8525085449219,303.1499938964844,307.010009765625,302.1700134277344,305.0,636800
2021-12-17,264.57781982421875,298.3299865722656,302.7699890136719,298.010009765625,302.7699890136719,1768400
2021-12-20,261.6334228515625,295.010009765625,295.2099914550781,290.8900146484375,294.7900085449219,779400
2021-12-21,262.2897033691406,295.75,298.7099914550781,293.8500061035156,297.1000061035156,636600
2021-12-22,263.54022216796875,297.1600036621094,297.260009765625,294.20001220703125,295.04998779296875,430300
2021-12-23,265.5977478027344,299.4800109863281,300.57000732421875,297.3999938964844,297.3999938964844,344700
2021-12-27,268.0277099609375,302.2200012207031,302.3599853515625,298.7799987792969,301.4200134277344,413600
2021-12-28,269.5974426269531,303.989990234375,304.3500061035156,301.80999755859375,303.1499938964844,354500
