Price,Adj Close,Close,High,Low,Open,Volume
Ticker,HON,HON,HON,HON,HON,HON
Date,,,,,,
2021-09-10,198.3361053466797,219.80628967285156,222.59378051757812,219.64813232421875,220.3993682861328,2385401
2021-09-13,199.43316650390625,221.02210998535156,223.1077880859375,219.64813232421875,221.7338104248047,2803724
2021-09-14,196.39169311523438,217.65142822265625,221.53611755371094,217.1769561767578,221.4669189453125,2731188
2021-09-15,197.72955322265625,219.13412475585938,220.34005737304688,217.6020050048828,218.0863494873047,2045280
2021-09-16,195.9100799560547,217.11764526367188,218.85736083984375,216.00067138671875,218.71896362304688,2421417
2021-09-17,194.8754119873047,215.9710235595703,217.32522583007812,214.992431640625,217.32522583007812,4442821
2021-09-20,192.41375732421875,213.2428436279297,215.32852172851562,211.72059631347656,213.59869384765625,4055253
2021-09-21,191.67344665527344,212.4224090576172,214.4388885498047,211.87875366210938,214.29061889648438,2598660
2021-09-22,193.56431579589844,214.51797485351562,215.91171264648438,213.82603454589844,213.9446563720703,2307706
2021-09-23,195.9546356201172,217.1670684814453,218.8178253173828,214.79473876953125,214.79473876953125,2205426
2021-09-24,195.4998016357422,216.66294860839844,218.2642822265625,215.9512481689453,217.20660400390625,1971833
2021-09-27,194.34921264648438,215.3878173828125,217.2955780029297,215.21978759765625,216.41583251953125,2224952
2021-09-28,191.73585510253906,212.49160766601562,215.8326416015625,211.99737548828125,214.12257385253906,2685056
2021-09-29,191.69129943847656,212.4421844482422,213.91500854492188,212.07644653320312,213.34169006347656,2133598
2021-09-30,189.33660888671875,209.83261108398438,213.75685119628906,209.65469360351562,213.67776489257812,2968625
2021-10-01,192.3424072265625,213.16375732421875,213.9248809814453,209.1999969482422,210.52455139160156,2303052
2021-10-04,191.05804443359375,211.74037170410156,214.12257385253906,210.7321319580078,212.76837158203125,2662901
2021-10-05,192.4048614501953,213.2329559326172,214.54762268066406,211.14727783203125,211.14727783203125,1578296
2021-10-06,193.42161560058594,214.3598175048828,214.48831176757812,210.66293334960938,211.30543518066406,1756147
2021-10-07,194.76840209960938,215.85240173339844,217.32522583007812,215.20001220703125,215.48666381835938,1874208
2021-10-08,194.17083740234375,215.19012451171875,217.018798828125,214.24119567871094,216.15882873535156,1360485
2021-10-11,192.02130126953125,212.80792236328125,215.70413208007812,212.77825927734375,214.8738250732422,1371006
2021-10-12,191.1650390625,211.85897827148438,213.74696350097656,211.46359252929688,213.2131805419922,1399839
2021-10-13,192.27993774414062,213.09457397460938,214.181884765625,210.48500061035156,212.80792236328125,1618864
2021-10-14,194.964599609375,216.0698699951172,216.25767517089844,214.0336151123047,214.65635681152344,1442126
2021-10-15,196.86439514160156,218.17530822753906,218.8968963623047,216.73214721679688,217.76014709472656,2206033
2021-10-18,196.78414916992188,218.0863494873047,218.9166717529297,215.32852172851562,216.0599822998047,1905266
2021-10-19,197.8098602294922,219.22308349609375,219.2823944091797,216.92984008789062,218.8079376220703,1618257
2021-10-20,199.46881103515625,221.0616455078125,221.11106872558594,218.28404235839844,219.66790771484375,1676225
2021-10-21,200.25372314453125,221.93150329589844,222.267578125,218.68931579589844,221.04188537597656,2680099
2021-10-22,193.9032745361328,214.89358520507812,221.3186492919922,214.7354278564453,220.3993682861328,3539406
2021-10-25,194.0281219482422,215.031982421875,216.4751434326172,213.16375732421875,214.31039428710938,2742013
2021-10-26,194.72378540039062,215.802978515625,217.92819213867188,214.27085876464844,215.6843719482422,2472404
2021-10-27,192.4048614501953,213.2329559326172,215.6448211669922,212.7387237548828,215.5855255126953,1666311
2021-10-28,194.86656188964844,215.9611358642578,216.25767517089844,211.9084014892578,211.9084014892578,1970619
2021-10-29,194.9914093017578,216.09951782226562,217.76014709472656,214.55751037597656,215.48666381835938,2645804
2021-11-01,196.0081787109375,217.22637939453125,217.51303100585938,215.5558624267578,216.17860412597656,1717602
2021-11-02,197.2836151123047,218.639892578125,219.41090393066406,216.72225952148438,217.9973907470703,2324196
2021-11-03,198.71961975097656,220.23133850097656,220.47845458984375,217.0484619140625,218.36312866210938,2081295
2021-11-04,198.44313049316406,219.92491149902344,222.24781799316406,219.51963806152344,220.1028289794922,2347059
2021-11-05,201.62728881835938,223.45375061035156,224.98587036132812,221.2395782470703,221.65472412109375,2356367
2021-11-08,201.3329620361328,223.12754821777344,225.60861206054688,221.79312133789062,225.18357849121094,1735408
2021-11-09,203.13462829589844,225.124267578125,225.62838745117188,222.75193786621094,223.097900390625,2396631
2021-11-10,201.9163360595703,222.8112335205078,225.2824249267578,222.58389282226562,224.64979553222656,1340252
2021-11-11,197.97500610351562,218.46197509765625,222.90020751953125,218.05670166015625,222.90020751953125,1614413
2021-11-12,199.21112060546875,219.82606506347656,219.97433471679688,216.96937561035156,219.38124084472656,2210080
2021-11-15,199.28280639648438,219.90513610839844,221.45703125,219.08470153808594,220.06329345703125,1221988
2021-11-16,198.29745483398438,218.8178253173828,220.70579528808594,218.5113983154297,220.05340576171875,1667727
2021-11-17,197.50914001464844,217.94796752929688,218.73873901367188,217.06822204589844,218.44219970703125,1918721
2021-11-18,197.69725036621094,218.15554809570312,218.4026641845703,216.4949188232422,216.96937561035156,1707991
2021-11-19,195.7175750732422,215.9710235595703,218.6497802734375,214.66624450683594,218.46197509765625,2120548
2021-11-22,195.4040985107422,215.62506103515625,218.5015106201172,215.51632690429688,215.8128662109375,2480194
2021-11-23,193.48715209960938,213.50973510742188,215.9413604736328,212.66952514648438,214.8540496826172,4068304
2021-11-24,190.09214782714844,209.763427734375,213.42076110839844,209.39768981933594,212.65963745117188,3304093
2021-11-26,186.50904846191406,205.80953979492188,206.59043884277344,200.23455810546875,202.58712768554688,3902795
2021-11-29,186.016357421875,205.26588439941406,207.78648376464844,204.61349487304688,207.78648376464844,2628403
2021-11-30,181.16127014160156,199.9083709716797,204.089599609375,198.79139709472656,203.8523712158203,5746552
2021-12-01,178.63519287109375,197.12088012695312,203.50640869140625,196.88365173339844,203.279052734375,3159526
2021-12-02,182.73785400390625,201.6480712890625,203.08135986328125,197.199951171875,198.64312744140625,6074938
2021-12-03,182.28994750976562,201.15383911132812,202.12254333496094,198.6826629638672,201.657958984375,3587258
2021-12-06,184.75331115722656,203.87213134765625,205.69091796875,202.50804138183594,202.8638916015625,4427444
2021-12-07,185.55953979492188,204.7617645263672,207.1835174560547,203.38778686523438,204.93968200683594,4842530
2021-12-08,183.3201141357422,202.29058837890625,202.96273803710938,200.1851348876953,202.4783935546875,5055687
2021-12-09,184.5294189453125,203.62501525878906,204.7716522216797,200.6101837158203,202.2213897705078,5050224
2021-12-10,187.94227600097656,207.39109802246094,207.61843872070312,203.4470977783203,204.45533752441406,3449975
